station_key,canonical_station_name,first_financial_year,last_financial_year,year_count,financial_years,eligible_year_count,all_file_names
berowra13211kv,Berowra 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Berowra 132_11kV
burwood13211kv,Burwood 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Burwood 132_11kV
campbellst13211kv,Campbell St 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Campbell St 132_11kV
chatswood3311kv,Chatswood 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Chatswood 33_11kV
citycentral13211kv,City Central 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,City Central 132_11kV
concord3311kv,Concord 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Concord 33_11kV
darlinghurst3311kv,Darlinghurst 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Darlinghurst 33_11kV
drummoyne13211kv,Drummoyne 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Drummoyne 132_11kV
erina6611kv,Erina 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Erina 66_11kV
gateshead3311kv,Gateshead 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Gateshead 33_11kV
harbord3311kv,Harbord 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Harbord 33_11kV
huntershill6611kv,Hunters Hill 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Hunters Hill 66_11kV
lindfield3311kv,Lindfield 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Lindfield 33_11kV
longjetty6611kv,Long Jetty 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Long Jetty 66_11kV
manly3311kv,Manly 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Manly 33_11kV
merriwa3311kv,Merriwa 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Merriwa 33_11kV
noraville3311kv,Noraville 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Noraville 33_11kV
nulkaba3311kv,Nulkaba 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Nulkaba 33_11kV
peatsridge3311kv,Peats Ridge 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Peats Ridge 33_11kV
rutherford3311kv,Rutherford 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Rutherford 33_11kV
singletonnorth6611kv,Singleton North 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Singleton North 66_11kV
stives3311kv,St Ives 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,St Ives 33_11kV
terreyhills3311kv,Terrey Hills 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Terrey Hills 33_11kV
topryde13211kv,Top Ryde 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Top Ryde 132_11kV
umina6611kv,Umina 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Umina 66_11kV
waverley13211kv,Waverley 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Waverley 132_11kV
westgosford13211kv,West Gosford 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,West Gosford 132_11kV
camperdown335kv,Camperdown 33_5kV,2015,2024,10,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,10,Camperdown 33_5kV
botany3311kv,Botany 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Botany 33_11kV
charmhaven13211kv,Charmhaven 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Charmhaven 132_11kV
croudacebay3311kv,Croudace Bay 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Croudace Bay 33_11kV
empirebay6611kv,Empire Bay 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Empire Bay 66_11kV
greensquare13211kv,Green Square 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Green Square 132_11kV
