site_name,longitude,latitude,source_file,weather_years,weather_start_year,weather_end_year,ghi_kwh_m2_day,ghi_daily_cv,dni_kwh_m2_day,wind50_mean_ms,wind50_p90_ms,wind50_cv,temp_mean_c,temp_p95_c,cooling_degree_hours_24c_per_year,solar_wind_daily_corr,resource_complementarity,population_2021_25km,crop_dry_tpy_25km,manure_vs_tpy_25km,organic_waste_tpy_25km,forestry_dry_tpy_25km,crop_dry_weighted_distance_km_25km,manure_vs_weighted_distance_km_25km,organic_waste_weighted_distance_km_25km,forestry_dry_weighted_distance_km_25km,nsw_land_fraction_of_buffer_25km,population_geometry_coverage_25km,biomass_geometry_coverage_of_nsw_land_25km,forestry_management_area_fraction_of_nsw_land_25km,population_regions_intersected_25km,biomass_regions_intersected_25km,forestry_regions_intersected_25km,population_2021_50km,crop_dry_tpy_50km,manure_vs_tpy_50km,organic_waste_tpy_50km,forestry_dry_tpy_50km,crop_dry_weighted_distance_km_50km,manure_vs_weighted_distance_km_50km,organic_waste_weighted_distance_km_50km,forestry_dry_weighted_distance_km_50km,nsw_land_fraction_of_buffer_50km,population_geometry_coverage_50km,biomass_geometry_coverage_of_nsw_land_50km,forestry_management_area_fraction_of_nsw_land_50km,population_regions_intersected_50km,biomass_regions_intersected_50km,forestry_regions_intersected_50km,population_2021_100km,crop_dry_tpy_100km,manure_vs_tpy_100km,organic_waste_tpy_100km,forestry_dry_tpy_100km,crop_dry_weighted_distance_km_100km,manure_vs_weighted_distance_km_100km,organic_waste_weighted_distance_km_100km,forestry_dry_weighted_distance_km_100km,nsw_land_fraction_of_buffer_100km,population_geometry_coverage_100km,biomass_geometry_coverage_of_nsw_land_100km,forestry_management_area_fraction_of_nsw_land_100km,population_regions_intersected_100km,biomass_regions_intersected_100km,forestry_regions_intersected_100km,SA2_CODE21,SA2_NAME21,AREASQKM21,population_2021,population_density,cluster,distance_to_cluster_centroid,resource_diversity_score,resilience_challenge_score,selection_reason,selected_for_detailed_study
Wathagar,149.5955963130002,-29.55620384199991,00_Primary.geojson,11,2015,2025,5.6262182354405175,0.35399372822604336,6.683451490791438,5.75691150240584,8.83,0.42576095378371065,20.6293324829932,35.16,18339.542727272725,0.04264055800417212,0.9573594419958279,4097.903078605603,99852.17376333092,7.198265794673255,762.3259295701224,263.53670580993025,5.206251464550825e-13,5.206251464550825e-13,5.206251464550825e-13,5.206251464550825e-13,1.0,1.0,1.0,1.0,2,1,1,10086.667833917418,370071.4866872801,35.932836414852346,3370.5900977608217,1054.1468232397192,9.494940340765444,16.638864511962765,13.982055266385066,2.3283064365386963e-13,1.0,1.0,1.0,0.9999999999999999,3,2,1,25020.378997281266,1126435.2322538549,309.30637730416305,12097.500106962376,3923.438006476382,37.29520694170718,66.7327254089193,45.63054535696935,18.01807168239245,0.986221273004872,1.0,0.9999533359462252,0.9999513216414697,7,5,4,110031196,Moree Surrounds,19807.3163,5356.0,0.2704051330770136,3,1.5521909679924533,0.6312509500796027,0.475,,False
Pambula,149.8652343750001,-36.90105819699993,00_Primary.geojson,11,2015,2025,4.551089074166252,0.43641807519447484,4.986153820308611,4.730431184668989,7.57,0.444223041307605,16.26009706321553,23.15449999999997,498.5372727272727,-0.10333970899675832,0.8966602910032417,24504.20686902533,3759.2956411479663,2621.209514293876,7434.162079917821,47817.044232724955,7.115461011759084,7.115461011759084,7.115461011759084,7.094765449554878,0.6644370377035779,1.0,1.0,1.0,4,1,1,32275.38782155906,12889.29621048463,8342.461952126563,23690.425499443387,180264.70428742605,14.360851983886299,12.197989025320354,12.236069811573849,15.726339465278551,0.626820925414147,1.0,1.0,1.0,8,4,1,53468.81575028665,27183.357606339454,11082.586470104969,36628.12575696349,307689.4837757851,37.59978000377211,12.769922532272695,22.923011082971346,26.277762745969508,0.4426222667080378,1.0,1.0,1.0,12,6,5,101041025,Merimbula - Tura Beach,97.3395,11513.0,118.27675301393576,4,1.8013163532856287,0.5632834775601657,0.55625,,False
Goondiwindi 33kV,150.2862854000001,-28.525379180999952,00_Primary.geojson,11,2015,2025,5.617620898456944,0.3449297285393365,6.57984700348432,5.709963186494109,8.72,0.4214130676880976,20.89082555583209,34.93,18181.46181818182,0.02424638767808883,0.9757536123219112,167.02931975079227,31485.294214175537,2.2874641162284304,240.8652835635905,14.921899088924507,14.2949256260823,14.375769147897126,14.316136855680302,14.290629549521398,0.31484008487933457,1.0,1.0,1.0,2,2,1,866.5940486294542,139598.4177555913,18.940107584845293,1311.007155786734,116.70914192279795,27.512522281517164,34.20411695191317,30.18336027215835,34.441926859606184,0.37603648426359987,1.0,1.0,1.0,2,2,2,4765.508107510826,474658.20098982187,183.52444506432877,6354.370360999908,894.8473030495265,56.215365367911446,72.30013222862368,63.350524784614066,66.98011679080732,0.40433096381123645,1.0,1.0,1.0,3,3,2,,,,,,3,1.1271497730691429,0.5500368576887339,0.5625,,False
Oxley Vale,150.90386962900007,-31.06679534899997,00_Primary.geojson,11,2015,2025,5.2969402414136395,0.39103087751069143,6.173165286212045,5.430374460759913,8.55,0.45428573799274097,18.080048739007797,32.25,10626.83090909091,-0.04415840972715635,0.9558415902728437,47497.359728415235,15115.077393494239,12555.774561976266,11333.845563955081,3479.340544733691,2.7718591485019144,0.4587874272632113,0.47414953813962446,12.55119765365939,0.9999999999999999,1.0,1.0,0.999999222295176,5,2,2,57313.211072486505,105110.02147076832,37602.2412180658,34929.553250337995,21462.444533921233,26.123509597829948,7.895670930319981,8.792884467804367,27.691835331898403,1.0,1.0,0.9999968326346622,0.9999984636929303,8,5,4,113935.82164706079,465375.557528994,70766.08250271805,74815.90094684769,75670.50591153157,60.740548091428735,27.688363435858747,34.529288635208935,57.385894811451884,0.9999999999999999,1.0,0.9999997357934438,0.999999635233837,18,13,9,110041203,Tamworth - North,76.0422,16517.0,217.20833957986488,1,1.7859485962554813,0.7554906868710302,0.5375,,False
Madgwick Dr,151.64950561500015,-30.49220275899995,00_Primary.geojson,11,2015,2025,5.227598847685415,0.3803658912491532,5.661958862618218,5.080530010784802,8.21,0.4756017415732973,14.255794549527128,27.0,3137.02,-0.15261169431931076,0.8473883056806892,25966.251524595784,4830.749273872788,170.09886522664033,4824.271498558907,3610.175204283358,7.967245079659674,10.071190260751003,8.233887675157435,9.313225746154785e-13,1.0,1.0,1.0,1.0,3,2,1,32398.70306859942,18581.940519689968,1518.5169896537247,17025.19866738098,18788.04961462803,23.0806588696634,35.62912253413454,21.10740550997205,16.794925794295217,0.9999999999999998,1.0,1.0,0.9999965853005388,6,5,4,107171.998411774,121083.05290162875,40830.10351596788,72343.71672565515,131036.83045757613,67.92711963770581,72.7730820556865,60.51094174547904,69.11134269060037,0.9999999999999983,1.0,1.0,0.9999994985354098,18,13,12,110011186,Armidale,274.5996,23967.0,87.27980667124059,2,1.7331907917558722,0.5630537491446381,0.575,,False
Hallidays Point 11kV,152.47157287600004,-32.06842422499991,00_Primary.geojson,11,2015,2025,4.807817471378796,0.41196707669687876,5.045952518666003,4.4474315579890495,6.9,0.4248051203891467,19.33838487224158,27.55,3940.0363636363636,-0.11271989988764113,0.8872801001123589,62097.67125305619,1948.33387209965,2313.702962569774,34111.88808683263,12591.423099340302,11.248611649507808,11.31962694442252,13.680164331066543,12.51303030948384,0.7084146987201652,1.0,1.0,1.0,8,3,4,83476.14618406628,7382.83555034621,15970.22036566531,72487.36634914427,62594.22983596664,28.21239187113499,32.42586636864149,23.43477866974756,33.23274192478772,0.6473091147601123,1.0,1.0,1.0,11,5,7,248310.86724226273,27697.112840537382,67261.06823693612,330692.32660375343,170558.4969976921,62.86506253495941,65.09132962213968,67.54586379452023,55.16247973307924,0.5532602492625188,1.0,0.9998327091562712,1.0,26,11,10,108051168,Old Bar - Manning Point - Red Head,209.6182,12476.0,59.51773271595692,4,0.7332482251232286,0.5857026693203792,0.6625,cluster_medoid;resilience_challenge,True
Telegraph Point,152.7790069580001,-31.336294173999917,00_Primary.geojson,11,2015,2025,4.7775149178695875,0.39522236477389083,5.066981963663514,3.077559523809524,4.58,0.3960851480601941,17.786072672971628,27.99,4272.662727272726,-0.1083722616471968,0.8916277383528032,69320.30839220373,3094.903356101766,1863.4280880034935,37489.06445477613,16574.652062035922,7.952358037039264,7.40856572419451,6.817830603849822,12.176373306938036,0.8669074087784515,1.0,1.0,1.0,8,2,3,107215.08154082221,9074.774703558309,5551.067629365032,94557.4779763576,96900.26342545451,24.069080722824424,24.674315080247215,21.277487224098223,31.754057400585378,0.6827304401036302,1.0,1.0,1.0,12,5,7,209808.10629192548,24776.455255551853,20385.64254731467,164533.14761206892,221317.09924392297,55.68639342532489,59.02062247702171,43.229544162235314,55.42251284372864,0.5566311513965545,1.0,1.0,1.0,24,10,12,108041165,Port Macquarie Surrounds,2871.7473,5301.0,1.8459145064748559,4,2.6244107804901122,0.5394161950991415,0.6000000000000001,,False
Raleigh,153.00151062000012,-30.462169646999925,00_Primary.geojson,11,2015,2025,4.9572491662518665,0.38506152727797954,5.286248586361374,5.088297660527625,7.98,0.43260435532460007,19.924457337813173,25.97,2202.1545454545453,-0.030533368550022453,0.9694666314499776,67607.5473794986,1072.565321090713,1044.5614948984905,34870.19109869706,30970.83517633271,13.959339764482497,15.862768071803114,10.979857263892194,11.721073323200418,0.6435376251767434,1.0,1.0,1.0,11,4,3,105681.03890141098,10096.922015915678,4795.2564086710045,75235.86316930437,101200.2180070279,38.511870449941895,31.70489500889288,24.57868986835717,28.03957472311523,0.5949588090683476,1.0,1.0,1.0,15,6,5,176824.6048718678,108872.16157103935,9627.39045543023,141333.19299734134,213859.9939328646,71.47090920676537,50.7487390398275,48.41326017942092,50.44849473240613,0.5677524798806535,1.0,1.0,1.0,22,10,9,104021090,Urunga,108.4124,4907.0,45.26235006327689,4,1.3868712787204704,0.6806665032687516,0.4625,,False
Redcliff,153.32409668000017,-29.575567245999945,00_Primary.geojson,11,2015,2025,5.048751209556994,0.370013732945872,5.370290333499254,4.8416154388584705,7.58,0.44065761600358727,20.394604902936784,28.38449999999997,5589.363636363636,-0.03780401006270702,0.9621959899372929,11981.585830200582,19829.79326463009,70.28075197779984,4035.493660590227,10992.14769093606,9.875957663214843,9.875957663214843,9.875957663214843,11.219374680026036,0.5337789633520571,1.0,1.0,1.0,2,1,2,50627.0722721007,88378.26118945374,2961.675991026945,34324.69481048374,44191.87564523576,28.321996439443463,42.356563340662966,35.787993741547844,30.247308901058144,0.5067325754548039,1.0,1.0,1.0,6,4,3,245370.1933925126,345690.76226160134,27298.83008300527,197843.43678211054,176986.81461520834,62.05880655761276,72.32874946202641,68.71680023618246,62.3020783197111,0.5073016505901449,1.0,1.0,1.0,26,10,7,104011082,Maclean - Yamba - Iluka,711.0493,17533.0,24.657924563036627,4,1.5312225128380152,0.6830704955439838,0.5375,,False
Suffolk Park,153.59378051800007,-28.672691344999983,00_Primary.geojson,11,2015,2025,4.9464136162269785,0.3597365505444543,5.0817036684917865,6.9618649410983915,11.0,0.43961905076126256,21.792365501078482,26.07,3011.8890909090915,-0.09644393619276348,0.9035560638072365,73484.04482017567,72505.09583079585,1863.6103452269572,41475.16410806878,2553.6031279711106,13.975162733618118,15.064490862497706,13.791793196710168,16.68914637860983,0.4821325241816721,1.0,1.0,1.0,9,2,2,180270.11255000165,261760.9784898213,8268.318936105266,147461.4446812514,11169.732534566461,28.587487075445996,30.667139159842787,28.58244176971008,32.6692159159214,0.4555544017837209,1.0,1.0,1.0,21,4,3,270348.0535609424,369472.9767043801,34893.54056488145,199345.04151463456,62640.097932527235,38.75654256804604,63.336822945251576,36.74696063156336,65.8031534572029,0.34021521128520404,1.0,1.0,1.0,24,5,4,112011240,Byron Bay,39.7771,10914.0,274.3789768484882,0,0.0,0.762734184406017,0.175,cluster_medoid,True
